64 32 2 done
0 10 blockimg/000.png false false 
0 11 blockimg/000.png false false 
0 12 blockimg/000.png false false 
0 13 blockimg/000.png false false 
0 14 blockimg/000.png false false 
0 15 blockimg/000.png false false 
0 16 blockimg/000.png false false 
1 10 blockimg/000.png false false 
1 14 blockimg/000.png false false 
1 16 blockimg/000.png false false 
2 12 blockimg/000.png false false 
2 16 blockimg/000.png false false 
2 30 blockimg/000.png false false 
3 16 blockimg/000.png false false 
3 18 blockimg/000.png false false 
3 21 blockimg/000.png false false 
3 28 blockimg/000.png false false 
4 9 blockimg/000.png false false 
4 16 blockimg/000.png false false 
5 16 blockimg/000.png false false 
5 25 blockimg/000.png false false 
5 28 blockimg/000.png false false 
6 16 blockimg/000.png false false 
6 17 blockimg/000.png false false 
6 29 blockimg/000.png false false 
7 17 blockimg/000.png false false 
8 17 blockimg/000.png false false 
8 21 blockimg/000.png false false 
9 17 blockimg/000.png false false 
10 18 blockimg/000.png false false 
11 18 blockimg/000.png false false 
11 27 blockimg/000.png false false 
12 18 blockimg/000.png false false 
13 18 blockimg/000.png false false 
13 25 blockimg/000.png false false 
13 26 blockimg/000.png false false 
14 19 blockimg/000.png false false 
14 23 blockimg/000.png false false 
15 19 blockimg/000.png false false 
15 28 blockimg/000.png false false 
16 19 blockimg/000.png false false 
16 20 blockimg/000.png false false 
16 26 blockimg/000.png false false 
17 19 blockimg/000.png false false 
18 10 blockimg/000.png false false 
18 20 blockimg/000.png false false 
18 26 blockimg/000.png false false 
19 11 blockimg/000.png false false 
19 20 blockimg/001.png false false 
19 26 blockimg/000.png false false 
20 8 blockimg/000.png false false 
20 20 blockimg/001.png false false 
20 29 blockimg/000.png false false 
21 8 blockimg/000.png false false 
21 12 blockimg/000.png false false 
21 20 blockimg/000.png false false 
21 27 blockimg/000.png false false 
21 31 blockimg/000.png false false 
22 7 blockimg/000.png false false 
22 12 blockimg/000.png false false 
22 20 blockimg/000.png false false 
22 21 blockimg/001.png false false 
22 25 blockimg/000.png false false 
22 27 blockimg/000.png false false 
22 28 blockimg/000.png false false 
23 7 blockimg/000.png false false 
23 12 blockimg/000.png false false 
23 20 blockimg/000.png false false 
23 27 blockimg/000.png false false 
24 7 blockimg/000.png false false 
24 20 blockimg/000.png false false 
24 21 blockimg/001.png false false 
25 7 blockimg/000.png false false 
25 12 blockimg/000.png false false 
25 19 blockimg/000.png false false 
25 20 blockimg/000.png false false 
25 30 blockimg/000.png false false 
26 7 blockimg/000.png false false 
26 19 blockimg/001.png false false 
26 25 blockimg/000.png false false 
27 6 blockimg/000.png false false 
27 7 blockimg/000.png false false 
27 13 blockimg/000.png false false 
27 18 blockimg/001.png false false 
27 19 blockimg/000.png false false 
27 26 blockimg/000.png false false 
28 6 blockimg/000.png false false 
28 13 blockimg/000.png false false 
28 14 blockimg/000.png false false 
28 18 blockimg/000.png false false 
28 31 blockimg/000.png false false 
29 6 blockimg/000.png false false 
29 7 blockimg/000.png false false 
29 14 blockimg/000.png false false 
29 17 blockimg/000.png false false 
29 18 blockimg/001.png false false 
29 23 blockimg/000.png false false 
29 26 blockimg/000.png false false 
29 30 blockimg/000.png false false 
30 7 blockimg/000.png false false 
30 17 blockimg/000.png false false 
30 23 blockimg/000.png false false 
30 29 blockimg/000.png false false 
31 7 blockimg/000.png false false 
31 16 blockimg/000.png false false 
31 17 blockimg/001.png false false 
31 29 blockimg/000.png false false 
32 7 blockimg/000.png false false 
32 16 blockimg/000.png false false 
32 24 blockimg/000.png false false 
32 26 blockimg/000.png false false 
32 31 blockimg/000.png false false 
33 7 blockimg/000.png false false 
33 16 blockimg/001.png false false 
33 26 blockimg/000.png false false 
34 7 blockimg/000.png false false 
34 16 blockimg/001.png false false 
