24 24 2 done
0 0 blockimg/grass/001.png false false 
0 1 blockimg/dirt/001.png false false 
0 2 blockimg/dirt/001.png false false 
0 3 blockimg/dirt/001.png false false 
0 4 blockimg/dirt/000.png false false 
0 13 blockimg/dirt/001.png false false 
0 14 blockimg/dirt/001.png false false 
0 15 blockimg/dirt/001.png false false 
0 16 blockimg/dirt/001.png false false 
0 17 blockimg/dirt/001.png false false 
0 18 blockimg/dirt/001.png false false 
0 19 blockimg/dirt/001.png false false 
0 20 blockimg/dirt/001.png false false 
0 21 blockimg/dirt/001.png false false 
0 22 blockimg/dirt/001.png false false 
0 23 blockimg/dirt/000.png false false 
1 0 blockimg/grass/002.png false false 
1 4 blockimg/grass/003.png false false 
1 5 blockimg/dirt/001.png false false 
1 6 blockimg/dirt/001.png false false 
1 7 blockimg/dirt/001.png false false 
1 8 blockimg/dirt/001.png false false 
1 9 blockimg/dirt/001.png false false 
1 10 blockimg/dirt/001.png false false 
1 11 blockimg/dirt/001.png false false 
1 12 blockimg/dirt/001.png false false 
1 13 blockimg/dirt/002.png false false 
1 19 blockimg/sidewalk/002.png false false 
1 23 blockimg/sidewalk/002.png false false 
2 0 blockimg/grass/002.png false false 
2 4 blockimg/grass/002.png false false 
2 16 blockimg/sidewalk/000.png false false 
2 19 blockimg/sidewalk/002.png false false 
2 21 blockimg/sidewalk/000.png false false 
2 23 blockimg/sidewalk/002.png false false 
3 0 blockimg/grass/002.png false false 
3 4 blockimg/sidewalk/002.png false false 
3 8 blockimg/sidewalk/001.png false false 
3 9 blockimg/dirt/001.png false false 
3 10 blockimg/dirt/001.png false false 
3 11 blockimg/dirt/001.png false false 
3 12 blockimg/dirt/000.png false false 
3 16 blockimg/sidewalk/002.png false false 
3 21 blockimg/sidewalk/002.png false false 
3 23 blockimg/sidewalk/002.png false false 
4 0 blockimg/grass/002.png false false 
4 4 blockimg/sidewalk/002.png false false 
4 8 blockimg/sidewalk/002.png false false 
4 12 blockimg/dirt/003.png false false 
4 13 blockimg/dirt/001.png false false 
4 14 blockimg/dirt/001.png false false 
4 15 blockimg/dirt/001.png false false 
4 16 blockimg/dirt/003.png false false 
4 17 blockimg/dirt/001.png false false 
4 18 blockimg/dirt/001.png false false 
4 19 blockimg/dirt/001.png false false 
4 20 blockimg/dirt/001.png false false 
4 21 blockimg/dirt/002.png false false 
4 23 blockimg/sidewalk/002.png false false 
5 0 blockimg/grass/003.png false false 
5 1 blockimg/dirt/000.png false false 
5 3 blockimg/dirt/001.png false false 
5 4 blockimg/dirt/003.png false false 
5 5 blockimg/dirt/001.png false false 
5 6 blockimg/dirt/000.png false false 
5 8 blockimg/sidewalk/003.png false false 
5 9 blockimg/dirt/000.png false false 
5 15 blockimg/sidewalk/002.png false false 
5 19 blockimg/sidewalk/002.png false false 
5 23 blockimg/sidewalk/002.png false false 
6 0 blockimg/grass/002.png false false 
6 9 blockimg/sidewalk/002.png false false 
6 23 blockimg/sidewalk/002.png false false 
7 0 blockimg/grass/002.png false false 
7 9 blockimg/sidewalk/003.png false false 
7 10 blockimg/dirt/000.png false false 
7 13 blockimg/sidewalk/000.png false false 
7 17 blockimg/sidewalk/000.png false false 
7 21 blockimg/sidewalk/000.png false false 
7 23 blockimg/sidewalk/002.png false false 
8 0 blockimg/grass/003.png false false 
8 1 blockimg/dirt/001.png false false 
8 2 blockimg/dirt/001.png false false 
8 3 blockimg/dirt/001.png false false 
8 4 blockimg/dirt/000.png false false 
8 9 blockimg/grass/003.png false false 
8 10 blockimg/dirt/002.png false false 
8 13 blockimg/sidewalk/003.png false false 
8 14 blockimg/dirt/001.png false false 
8 15 blockimg/dirt/001.png false false 
8 16 blockimg/dirt/001.png false false 
8 17 blockimg/dirt/003.png false false 
8 18 blockimg/dirt/001.png false false 
8 19 blockimg/dirt/001.png false false 
8 20 blockimg/dirt/001.png false false 
8 21 blockimg/dirt/003.png false false 
8 22 blockimg/dirt/001.png false false 
8 23 blockimg/dirt/002.png false false 
9 0 blockimg/grass/003.png false false 
9 4 blockimg/grass/003.png false false 
9 5 blockimg/dirt/000.png false false 
9 9 blockimg/grass/003.png false false 
9 10 blockimg/dirt/003.png false false 
9 11 blockimg/dirt/000.png false false 
9 17 blockimg/dirt/003.png false false 
9 18 blockimg/dirt/002.png false false 
9 21 blockimg/dirt/003.png false false 
9 22 blockimg/dirt/003.png false false 
9 23 blockimg/dirt/002.png false false 
10 0 blockimg/grass/002.png false false 
10 5 blockimg/grass/003.png false false 
10 6 blockimg/dirt/000.png false false 
10 10 blockimg/grass/003.png false false 
10 11 blockimg/dirt/003.png false false 
10 12 blockimg/dirt/001.png false false 
10 13 blockimg/dirt/001.png false false 
10 14 blockimg/dirt/000.png false false 
10 17 blockimg/sidewalk/002.png false false 
10 22 blockimg/dirt/003.png false false 
10 23 blockimg/dirt/002.png false false 
11 0 blockimg/grass/002.png false false 
11 6 blockimg/grass/003.png false false 
11 7 blockimg/dirt/000.png false false 
11 11 blockimg/grass/002.png false false 
11 13 blockimg/dirt/002.png false false 
11 17 blockimg/sidewalk/002.png false false 
11 23 blockimg/sidewalk/002.png false false 
12 0 blockimg/grass/002.png false false 
12 7 blockimg/grass/003.png false false 
12 8 blockimg/dirt/000.png false false 
12 13 blockimg/dirt/002.png false false 
12 23 blockimg/sidewalk/002.png false false 
13 0 blockimg/grass/002.png false false 
13 3 blockimg/dirt/000.png false false 
13 8 blockimg/grass/003.png false false 
13 9 blockimg/dirt/001.png false false 
13 10 blockimg/dirt/000.png false false 
13 13 blockimg/dirt/002.png false false 
13 20 none false false 
13 23 blockimg/sidewalk/002.png false false 
14 0 blockimg/grass/002.png false false 
14 5 blockimg/grass/000.png false false 
14 10 blockimg/grass/002.png false false 
14 13 blockimg/dirt/002.png false false 
14 23 blockimg/sidewalk/002.png false false 
15 0 blockimg/grass/002.png false false 
15 5 blockimg/grass/002.png false false 
15 13 blockimg/dirt/003.png false false 
15 14 blockimg/dirt/000.png false false 
15 23 blockimg/sidewalk/002.png false false 
16 0 blockimg/grass/003.png false false 
16 1 blockimg/dirt/000.png false false 
16 11 blockimg/grass/001.png false false 
16 12 blockimg/dirt/001.png false false 
16 13 blockimg/dirt/003.png false false 
16 14 blockimg/dirt/002.png false false 
16 19 blockimg/sidewalk/000.png false false 
16 23 blockimg/sidewalk/002.png false false 
17 1 blockimg/grass/003.png false false 
17 2 blockimg/dirt/000.png false false 
17 6 blockimg/dirt/001.png false false 
17 7 blockimg/dirt/001.png false false 
17 8 blockimg/dirt/001.png false false 
17 9 blockimg/dirt/001.png false false 
17 10 blockimg/dirt/003.png false false 
17 11 blockimg/dirt/002.png false false 
17 14 blockimg/dirt/003.png false false 
17 15 blockimg/dirt/001.png false false 
17 16 blockimg/dirt/001.png false false 
17 17 blockimg/dirt/000.png false false 
17 19 blockimg/sidewalk/003.png false false 
17 20 blockimg/dirt/001.png false false 
17 21 blockimg/dirt/001.png false false 
17 22 blockimg/dirt/001.png false false 
17 23 blockimg/dirt/002.png false false 
18 2 blockimg/grass/002.png false false 
18 6 blockimg/dirt/002.png false false 
18 22 blockimg/sidewalk/003.png false false 
18 23 blockimg/dirt/002.png false false 
19 2 blockimg/grass/003.png false false 
19 3 blockimg/dirt/000.png false false 
19 6 blockimg/dirt/002.png false false 
19 9 blockimg/grass/001.png false false 
19 10 blockimg/dirt/001.png false false 
19 11 blockimg/dirt/001.png false false 
19 12 blockimg/dirt/001.png false false 
19 13 blockimg/dirt/001.png false false 
19 14 blockimg/dirt/001.png false false 
19 15 blockimg/dirt/001.png false false 
19 16 blockimg/dirt/001.png false false 
19 17 blockimg/dirt/000.png false false 
19 22 blockimg/sidewalk/003.png false false 
19 23 blockimg/dirt/002.png false false 
20 3 blockimg/grass/002.png false false 
20 6 blockimg/dirt/002.png false false 
20 12 blockimg/grass/002.png false false 
20 17 blockimg/dirt/002.png false false 
20 22 blockimg/grass/003.png false false 
